OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,10.38,10.38,1,10.24,10.24,3,10.49,10.49,4,10.65,10.65
2,15.11,25.49,1,15.01,25.25,3,15.15,25.64,4,15.18,25.83
3,13.02,38.51,1,13.04,38.29,2,12.83,38.47,4,12.91,38.74
3,12.34,50.85,1,12.27,50.56,2,12.23,50.70,4,12.30,51.04
3,11.68,1:02.53,1,11.69,1:02.25,2,11.69,1:02.39,4,11.64,1:02.68
3,10.81,1:13.34,2,10.96,1:13.21,1,10.69,1:13.08,4,10.82,1:13.50
3,10.33,1:23.67,2,10.36,1:23.57,1,10.40,1:23.48,4,10.33,1:23.83
3,10.37,1:34.04,2,10.38,1:33.95,1,10.38,1:33.86,4,10.39,1:34.22
3,10.45,1:44.49,2,10.44,1:44.39,1,10.44,1:44.30,4,10.41,1:44.63
3,10.20,1:54.69,2,10.22,1:54.61,1,10.21,1:54.51,4,10.25,1:54.88
3,9.67,2:04.36,2,9.71,2:04.32,1,9.72,2:04.23,4,9.57,2:04.45
4,9.49,2:13.85,3,9.48,2:13.80,2,9.39,2:13.62,1,9.05,2:13.50
4,9.54,2:23.39,3,9.18,2:22.98,2,9.23,2:22.85,1,9.09,2:22.59
4,9.78,2:33.167,3,9.37,2:32.348,2,9.31,2:32.154,1,9.31,2:31.892
