Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
1,15.840,15.840,2,15.850,15.850,4,16.100,16.100,3,16.000,16.000
2,12.270,28.120,1,12.260,28.110,3,12.100,28.210,4,12.390,28.400
1,11.080,39.200,2,11.250,39.370,3,11.400,39.610,4,11.390,39.790
1,10.700,49.910,2,10.660,50.040,3,10.720,50.330,4,10.610,50.400
1,10.420,1:00.340,2,10.320,1:00.360,3,10.200,1:00.540,4,10.250,1:00.660
1,10.150,1:10.490,2,10.180,1:10.550,4,10.260,1:10.810,3,10.040,1:10.700
2,10.190,1:20.690,1,10.110,1:20.660,4,9.980,1:20.790,3,10.050,1:20.760
3,10.300,1:30.990,4,10.370,1:31.040,1,9.590,1:30.390,2,9.800,1:30.560
4,10.330,1:41.330,3,10.200,1:41.240,1,9.440,1:39.830,2,10.000,1:40.570
