SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME
2,7.73,7.73,1,7.43,7.43,3,7.81,7.81,5,7.92,7.92,4,7.85,7.85
2,9.42,17.15,1,9.71,17.14,5,9.93,17.74,4,9.65,17.57,3,9.46,17.31
1,8.86,26.01,2,9.01,26.15,5,9.34,27.08,4,8.91,26.48,3,8.91,26.22
1,8.97,34.98,2,9.03,35.18,5,9.01,36.09,4,8.98,35.46,3,9.10,35.32
1,9.16,44.137,4,9.55,44.726,5,9.24,45.323,3,9.06,44.519,2,9.00,44.316
