Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME
4,9.311,9.311,3,8.989,8.989,2,8.793,8.793,1,8.712,8.712
3,11.192,20.503,2,11.279,20.268,4,11.779,20.571,1,11.468,20.180
3,11.209,31.711,2,11.333,31.600,4,11.167,31.738,1,11.211,31.391
4,11.370,43.081,2,11.345,42.945,3,11.287,43.024,1,11.435,42.826
3,11.652,54.733,2,11.626,54.570,4,11.727,54.751,1,11.639,54.464
3,11.575,1:06.308,2,11.526,1:06.096,4,11.567,1:06.317,1,11.571,1:06.035
4,11.487,1:17.794,2,11.491,1:17.586,3,11.440,1:17.757,1,11.514,1:17.548
3,11.487,1:29.281,2,11.682,1:29.268,4,11.629,1:29.385,1,11.620,1:29.168
2,11.687,1:40.967,3,11.703,1:40.970,4,11.745,1:41.130,1,11.705,1:40.873
1,10.502,1:51.469,2,10.613,1:51.583,4,11.609,1:52.739,3,11.041,1:51.913
1,9.660,2:01.129,2,9.947,2:01.530,4,12.167,2:04.905,3,10.440,2:02.353
1,9.936,2:11.064,2,10.099,2:11.628,4,12.624,2:17.529,3,10.548,2:12.901
1,10.289,2:21.352,2,10.286,2:21.913,4,12.926,2:30.455,3,10.899,2:23.799
1,10.71,2:32.058,2,10.72,2:32.632,4,13.29,2:43.745,3,11.37,2:35.163
