Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME
4,14.272,14.272,2,14.069,14.069,3,14.187,14.187,1,13.883,13.883
4,10.961,25.233,1,10.921,24.989,3,10.985,25.172,2,11.155,25.038
3,10.312,35.545,2,10.525,35.514,4,10.402,35.574,1,10.456,35.493
4,9.921,45.465,2,9.740,45.254,3,9.855,45.428,1,9.732,45.224
3,9.435,54.899,1,9.343,54.596,4,9.532,54.959,2,9.543,54.767
4,9.851,1:04.750,1,9.682,1:04.278,3,9.405,1:04.364,2,9.588,1:04.354
4,9.341,1:14.091,1,9.452,1:13.729,3,9.461,1:13.825,2,9.418,1:13.771
2,9.114,1:23.204,1,9.409,1:23.137,4,9.777,1:23.601,3,9.532,1:23.303
3,9.57,1:32.773,1,9.59,1:32.723,4,9.92,1:33.517,2,9.45,1:32.748
