Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
2,12.93,12.93,1,12.83,12.83,3,13.02,13.02,4,13.16,13.16
2,10.03,22.96,1,10.02,22.85,3,10.04,23.06,4,10.03,23.19
2,9.78,32.74,1,9.80,32.65,3,9.76,32.82,4,9.77,32.96
1,9.58,42.32,2,9.67,42.32,3,9.62,42.44,4,9.63,42.59
1,9.38,51.70,2,9.48,51.80,3,9.44,51.88,4,9.41,52.00
1,9.58,1:01.28,2,9.58,1:01.38,3,9.60,1:01.48,4,9.60,1:01.60
1,9.47,1:10.75,2,9.53,1:10.91,3,9.52,1:11.00,4,9.56,1:11.16
1,9.20,1:19.95,2,9.36,1:20.27,3,9.30,1:20.30,4,9.64,1:20.80
1,9.50,1:29.443,3,9.79,1:30.051,2,9.57,1:29.863,4,10.14,1:30.940
