HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
1,12.16,12.16,2,12.31,12.31,3,12.47,12.47,5,12.81,,4,12.67,12.67
1,9.54,21.70,2,9.53,21.84,3,9.54,22.01,4,9.28,,4,9.42,22.09
1,9.08,30.78,2,8.95,30.79,3,8.95,30.96,4,8.98,,5,9.08,31.17
3,8.91,39.69,1,8.80,39.59,2,8.67,39.63,4,8.66,,5,8.68,39.85
4,8.98,48.67,2,8.93,48.52,1,8.85,48.48,3,8.82,,5,8.88,48.73
4,8.84,57.51,2,8.78,57.30,1,8.73,57.21,3,8.87,,5,8.85,57.58
4,8.78,1:06.29,2,8.81,1:06.11,1,8.79,1:06.00,3,8.79,,5,8.75,1:06.33
3,8.72,1:15.01,2,8.81,1:14.92,1,8.83,1:14.83,4,8.83,,4,8.71,1:15.04
4,8.94,1:23.95,0,8.89,1:23.81,0,8.95,1:23.78,5,9.48,,0,8.77,1:23.81
