JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
2,7.335,7.335,1,7.158,7.158,4,7.689,7.689,3,7.632,7.632
2,9.533,16.868,1,9.698,16.855,3,9.521,17.210,4,9.788,17.420
2,9.475,26.342,1,9.393,26.248,3,9.291,26.500,4,9.314,26.733
2,9.537,35.879,1,9.524,35.771,3,9.516,36.016,4,9.525,36.257
1,9.52,45.390,2,9.79,45.558,3,9.66,45.670,4,9.64,45.890
