Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
3,14.08,14.08,1,13.85,13.85,4,14.25,14.25,2,14.00,14.00
3,11.02,25.10,1,11.03,24.88,4,10.99,25.24,2,11.01,25.01
3,10.68,35.78,1,10.67,35.55,4,10.68,35.92,2,10.68,35.69
3,10.32,46.10,1,10.32,45.87,4,10.31,46.23,2,10.32,46.01
4,9.99,56.09,1,9.84,55.71,3,9.69,55.92,2,9.81,55.82
4,9.46,1:05.55,1,9.48,1:05.19,3,9.46,1:05.38,2,9.45,1:05.27
4,9.71,1:15.26,1,9.15,1:14.34,3,9.19,1:14.57,2,9.22,1:14.49
4,9.76,1:25.02,1,9.08,1:23.42,3,9.03,1:23.60,2,8.97,1:23.46
4,10.17,1:35.190,3,9.57,1:32.983,2,8.99,1:32.589,1,9.04,1:32.500
