Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
4,6.78,6.78,2,6.72,6.72,3,6.76,6.76,1,6.57,6.57
4,8.96,15.75,1,8.70,15.43,3,8.94,15.71,2,8.92,15.49
4,8.38,24.14,3,8.62,24.05,2,8.27,23.99,1,8.40,23.90
3,8.83,32.97,4,9.14,33.20,1,8.48,32.47,2,8.73,32.63
2,8.93,41.894,3,8.83,42.029,0,,DQ,1,9.07,41.691
