Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME
2,6.91,6.91,3,6.91,6.91,4,7.00,7.00,1,6.87,6.87
3,9.19,16.10,2,9.16,16.07,4,9.21,16.21,1,8.98,15.85
3,8.86,24.96,2,8.79,24.86,4,8.83,25.04,1,8.65,24.50
2,8.54,33.50,3,8.71,33.57,4,8.62,33.66,1,8.85,33.35
1,8.87,42.370,4,9.26,42.825,2,8.92,42.574,3,9.29,42.637
