LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME
4,13.37,13.37,3,13.33,13.33,5,13.53,13.53,1,13.19,13.19,2,13.27,13.27
1,10.09,23.46,5,10.46,23.79,2,9.95,23.48,3,10.35,23.54,4,10.38,23.65
2,9.72,33.18,5,9.70,33.49,1,9.64,33.12,3,9.73,33.27,4,9.73,33.38
3,9.65,42.83,1,9.27,42.76,1,9.64,42.76,4,9.65,42.92,5,9.64,43.02
3,9.15,51.98,1,9.09,51.85,2,9.16,51.92,3,9.06,51.98,5,9.08,52.10
5,9.37,1:01.35,2,9.23,1:01.08,3,9.23,1:01.15,1,9.02,1:01.00,4,9.14,1:01.24
4,8.95,1:10.30,2,8.94,1:10.02,5,9.23,1:10.38,1,8.95,1:09.95,3,8.90,1:10.14
4,8.88,1:19.18,2,8.91,1:18.93,5,9.15,1:19.53,1,8.85,1:18.80,3,8.81,1:18.95
4,9.04,1:28.202,3,9.17,1:28.086,5,9.73,1:29.243,1,9.04,1:27.822,2,8.98,1:27.916
