Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
2,14.456,14.456,4,14.872,14.872,3,14.688,14.688,1,14.364,14.364
1,10.508,24.963,4,10.361,25.233,3,10.416,25.104,2,10.651,25.014
1,10.540,35.503,3,10.371,35.603,4,10.561,35.664,2,10.546,35.560
2,9.769,45.271,1,9.507,45.110,3,9.788,45.452,4,10.081,45.640
2,9.199,54.470,1,9.154,54.263,3,9.199,54.650,4,9.624,55.264
2,9.229,1:03.698,1,9.423,1:03.686,3,9.121,1:03.771,4,9.537,1:04.801
1,9.183,1:12.881,3,9.437,1:13.123,2,9.255,1:13.025,4,9.975,1:14.776
1,9.162,1:22.042,3,9.350,1:22.473,2,9.099,1:22.123,4,10.383,1:25.158
1,9.30,1:31.335,3,9.77,1:32.235,2,9.29,1:31.410,4,10.68,1:35.832
