CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
2,13.57,13.57,1,13.54,13.54,3,13.74,13.74,4,13.87,13.87
2,10.57,24.14,1,10.45,23.99,3,10.48,24.22,4,10.47,24.34
1,9.98,34.12,2,10.15,34.14,3,10.14,34.36,4,10.16,34.50
1,9.69,43.81,2,9.71,43.85,3,9.60,43.96,4,9.59,44.09
2,9.50,53.31,1,9.33,53.18,3,9.49,53.45,4,9.48,53.57
2,9.17,1:02.48,1,9.20,1:02.38,3,9.15,1:02.60,4,9.12,1:02.69
1,8.95,1:11.43,2,9.06,1:11.44,3,8.96,1:11.56,4,9.01,1:11.70
1,8.83,1:20.26,2,8.91,1:20.35,3,8.87,1:20.43,4,8.87,1:20.57
1,9.02,1:29.273,2,9.02,1:29.370,3,9.07,1:29.496,4,8.96,1:29.524
