Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
1,7.272,7.272,2,7.406,7.406,3,7.580,7.580,4,7.662,7.662
1,9.327,16.599,2,9.482,16.888,4,9.571,17.151,3,9.367,17.030
1,9.045,25.644,2,8.976,25.864,4,8.853,26.004,3,8.969,25.998
1,9.012,34.656,2,9.058,34.923,3,8.926,34.930,4,9.537,35.535
2,9.617,44.274,3,9.676,44.599,1,9.307,44.237,4,9.584,45.119
