XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,CHEN Tong POSITION,CHEN Tong LAP TIME,CHEN Tong ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME
2,11.82,11.82,4,11.97,11.97,1,11.77,11.77,6,12.38,12.38,5,12.16,12.16,2,11.82,11.82
2,20.77,32.59,4,20.97,32.94,1,20.75,32.52,6,20.92,33.30,5,20.98,33.14,3,20.96,32.78
3,19.09,51.68,6,19.25,52.19,4,19.29,51.81,2,18.36,51.66,1,18.09,51.23,5,19.23,52.01
3,13.01,1:04.69,6,12.83,1:05.02,5,13.05,1:04.86,2,12.83,1:04.49,1,13.09,1:04.32,4,12.82,1:04.83
3,12.14,1:16.83,5,12.09,1:17.11,6,12.38,1:17.24,4,12.52,1:17.01,1,12.39,1:16.71,2,11.93,1:16.76
3,11.97,1:28.80,4,11.80,1:28.91,6,11.79,1:29.03,5,11.94,1:28.95,2,12.03,1:28.74,1,11.83,1:28.59
1,11.33,1:40.13,4,11.69,1:40.60,5,11.58,1:40.61,6,11.91,1:40.86,3,11.73,1:40.47,2,11.74,1:40.33
2,10.49,1:50.62,4,10.23,1:50.83,5,10.35,1:50.96,6,10.22,1:51.08,1,10.12,1:50.59,3,10.41,1:50.74
2,9.86,2:00.48,4,9.85,2:00.68,5,9.79,2:00.75,6,9.78,2:00.86,1,9.80,2:00.39,3,9.85,2:00.59
2,9.93,2:10.41,3,9.84,2:10.52,5,9.88,2:10.63,6,9.84,2:10.70,1,9.99,2:10.38,4,10.00,2:10.59
1,9.12,2:19.53,2,9.13,2:19.65,5,9.28,2:19.91,6,9.26,2:19.96,3,9.39,2:19.77,4,9.29,2:19.88
1,9.16,2:28.69,2,9.15,2:28.80,6,9.34,2:29.25,5,9.17,2:29.13,3,9.17,2:28.94,4,9.12,2:29.00
1,9.27,2:37.96,2,9.25,2:38.05,6,9.24,2:38.49,4,9.28,2:38.41,5,9.48,2:38.42,3,9.14,2:38.14
1,9.60,2:47.543,2,9.58,2:47.624,5,9.44,2:47.922,4,9.43,2:47.821,6,11.00,2:49.407,3,9.59,2:47.717
