KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,6.97,6.97,2,7.04,7.04,5,7.27,7.27,3,7.19,7.19,4,7.26,7.26
1,9.11,16.08,2,9.11,16.15,5,9.37,16.64,3,9.07,16.26,4,9.11,16.37
1,8.62,24.70,2,8.59,24.74,5,8.56,25.20,3,8.58,24.84,4,8.58,24.95
3,9.04,33.74,1,8.69,33.43,4,8.65,33.85,5,16.66,41.50,2,8.57,33.52
4,8.96,42.70,1,8.79,42.22,3,8.78,42.63,5,16.90,58.40,2,8.82,42.34
