Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
2,10.08,10.08,1,9.92,9.92,4,10.22,10.22,5,10.35,10.35,3,10.10,10.10,6,10.49,10.49
2,15.95,26.03,1,15.93,25.85,3,15.97,26.19,4,15.97,26.32,5,16.32,26.42,6,15.95,26.44
2,14.56,40.59,3,14.85,40.70,4,14.58,40.77,5,14.54,40.86,6,14.62,41.04,1,14.14,40.58
2,12.61,53.20,3,12.67,53.37,4,12.72,53.49,5,12.76,53.62,6,12.67,53.71,1,12.50,53.08
2,12.49,1:05.69,3,12.47,1:05.84,4,12.48,1:05.97,5,12.46,1:06.08,6,12.48,1:06.19,1,12.48,1:05.56
2,12.23,1:17.92,3,12.24,1:18.08,4,12.21,1:18.18,5,12.21,1:18.29,6,12.23,1:18.42,1,12.27,1:17.83
2,11.47,1:29.39,3,11.43,1:29.51,4,11.45,1:29.63,5,11.45,1:29.74,6,11.42,1:29.84,1,11.47,1:29.30
2,10.87,1:40.26,3,10.85,1:40.36,4,10.89,1:40.52,6,10.85,1:40.59,5,10.71,1:40.55,1,10.86,1:40.16
2,10.06,1:50.32,1,9.84,1:50.20,5,10.15,1:50.67,6,10.19,1:50.78,3,9.88,1:50.43,4,10.29,1:50.45
3,10.15,2:00.47,1,10.08,2:00.28,5,10.04,2:00.71,6,10.02,2:00.80,2,9.94,2:00.37,4,10.15,2:00.60
3,10.35,2:10.82,1,10.36,2:10.64,5,10.33,2:11.04,6,10.34,2:11.14,2,10.36,2:10.73,4,10.31,2:10.91
3,10.42,2:21.24,1,10.40,2:21.04,5,10.48,2:21.52,6,10.49,2:21.63,2,10.41,2:21.14,4,10.48,2:21.39
3,10.40,2:31.64,1,10.42,2:31.46,5,10.42,2:31.94,6,10.37,2:32.00,2,10.42,2:31.56,4,10.44,2:31.83
3,10.27,2:41.901,1,10.26,2:41.719,6,24.56,2:56.494,5,10.57,2:42.570,2,10.29,2:41.849,4,10.31,2:42.131
