Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Dejan HORVACKI POSITION,Dejan HORVACKI LAP TIME,Dejan HORVACKI ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
2,7.084,7.084,1,7.048,7.048,4,14.872,14.872,3,7.288,7.288
3,9.824,16.908,2,9.377,16.424,4,12.441,27.313,1,9.134,16.422
3,9.994,26.902,2,9.338,25.761,4,11.682,38.995,1,9.069,25.490
3,10.013,36.914,2,10.718,36.479,4,11.751,50.745,1,9.285,34.775
3,10.79,47.704,2,9.57,46.045,4,12.49,1:03.233,1,9.35,44.118
