Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,12.85,12.85,3,12.91,12.91,4,13.02,13.02,2,12.88,12.88
3,9.92,22.77,2,9.67,22.59,4,9.84,22.87,1,9.57,22.46
4,9.92,32.69,1,9.83,32.43,2,9.71,32.58,3,10.22,32.69
3,9.46,42.15,2,9.68,42.11,1,9.47,42.05,4,9.65,42.34
3,9.65,51.81,2,9.67,51.78,1,9.68,51.73,4,9.58,51.93
3,9.64,1:01.46,2,9.55,1:01.33,1,9.50,1:01.23,4,9.66,1:01.59
3,9.55,1:11.01,2,9.55,1:10.88,1,9.52,1:10.75,4,9.46,1:11.06
4,10.50,1:21.51,2,9.50,1:20.39,1,9.52,1:20.28,3,9.51,1:20.58
4,11.25,1:32.758,2,9.69,1:30.071,1,9.65,1:29.921,3,9.67,1:30.250
