Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.96,6.96,1,6.82,6.82,3,7.15,7.15,4,7.28,7.28
2,8.94,15.90,1,8.96,15.78,3,9.00,16.15,4,9.00,16.28
1,8.50,24.40,4,21.86,37.64,3,8.51,24.66,2,8.21,24.49
1,8.56,32.96,4,19.98,57.62,3,8.61,33.27,2,8.53,33.02
2,8.86,41.813,4,12.60,1:10.216,3,8.83,42.097,1,8.79,41.810
