Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
1,12.28,12.28,3,12.60,12.60,4,13.14,13.14,2,12.42,12.42
1,9.38,21.66,3,9.29,21.89,4,9.24,22.38,2,9.33,21.75
1,9.39,31.05,3,9.36,31.25,4,9.02,31.40,2,9.39,31.14
1,9.45,40.50,3,9.42,40.67,4,9.45,40.85,2,9.45,40.59
2,9.57,50.07,3,9.52,50.19,4,9.51,50.36,1,9.47,50.06
4,9.92,59.99,2,9.38,59.57,3,9.32,59.68,1,9.45,59.51
4,9.67,1:09.66,1,9.35,1:08.92,2,9.38,1:09.06,3,9.66,1:09.17
4,9.83,1:19.49,1,9.58,1:18.50,2,9.56,1:18.62,3,9.54,1:18.71
4,10.32,1:29.806,1,9.86,1:28.358,2,9.85,1:28.462,3,9.83,1:28.540
