Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,12.60,12.60,2,12.64,12.64,4,12.87,12.87,3,12.80,12.80
1,10.44,23.05,2,10.45,23.10,4,10.42,23.30,3,10.42,23.22
1,9.65,32.71,2,9.67,32.77,4,9.61,32.92,3,9.64,32.86
1,9.38,42.09,3,9.69,42.46,4,9.64,42.56,2,9.55,42.42
1,9.54,51.64,2,9.38,51.85,4,9.43,51.99,3,9.45,51.87
1,9.49,1:01.13,2,9.52,1:01.38,4,9.53,1:01.53,3,9.52,1:01.40
1,9.52,1:10.66,2,9.54,1:10.93,4,9.64,1:11.17,3,9.56,1:10.96
1,9.50,1:20.16,3,9.52,1:20.45,4,9.39,1:20.56,2,9.27,1:20.24
2,9.78,1:29.937,3,9.53,1:29.977,4,9.59,1:30.141,1,9.39,1:29.621
