Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
3,7.15,7.15,1,6.92,6.92,4,7.33,7.33,2,7.02,7.02,5,7.48,7.48
3,9.01,16.16,1,9.02,15.94,4,9.06,16.39,2,8.94,15.96,5,9.07,16.55
3,8.52,24.68,2,8.64,24.58,4,8.53,24.92,1,8.54,24.50,5,8.61,25.16
3,8.85,33.53,2,8.72,33.30,4,8.65,33.57,1,8.79,33.29,5,8.67,33.83
0,,PHOTO,0,,PHOTO,1,8.99,42.56,2,9.39,42.68,5,9.08,42.91
