Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
3,12.46,12.46,2,12.24,12.24,1,11.84,11.84,4,12.58,12.58
4,9.65,22.12,2,9.71,21.95,1,9.87,21.72,3,9.42,22.00
4,9.85,31.97,1,9.65,31.60,3,9.99,31.72,2,9.68,31.69
4,9.57,41.54,2,9.58,41.19,3,9.50,41.22,1,9.46,41.15
3,9.49,51.04,2,9.53,50.72,1,9.32,50.54,4,10.18,51.34
3,9.51,1:00.55,2,9.47,1:00.20,1,9.56,1:00.10,4,9.45,1:00.79
4,10.07,1:10.63,2,9.51,1:09.72,1,9.48,1:09.59,3,9.28,1:10.08
4,9.81,1:20.44,1,9.33,1:19.05,2,9.48,1:19.07,3,9.29,1:19.37
4,10.35,1:30.785,1,9.72,1:28.765,2,9.72,1:28.790,3,9.94,1:29.307
