Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Pietro de LORENZIS POSITION,Pietro de LORENZIS LAP TIME,Pietro de LORENZIS ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
3,13.62,13.62,1,13.39,13.39,4,13.75,13.75,2,13.51,13.51,5,13.98,13.98
3,10.70,24.32,1,10.76,24.15,4,10.69,24.44,2,10.73,24.24,5,10.60,24.58
3,10.67,34.99,1,10.67,34.82,4,10.60,35.04,2,10.71,34.95,5,10.65,35.23
3,10.07,45.06,1,10.10,44.92,4,10.19,45.23,2,10.10,45.05,5,10.13,45.36
5,10.04,55.10,1,9.69,54.61,3,9.65,54.88,2,9.62,54.67,4,9.63,54.99
4,9.27,1:04.37,2,9.53,1:04.14,5,9.49,1:04.37,3,9.54,1:04.21,1,9.13,1:04.12
3,9.25,1:13.62,2,9.47,1:13.61,5,9.57,1:13.94,4,9.64,1:13.85,1,9.16,1:13.28
2,9.38,1:23.00,3,9.54,1:23.15,5,9.70,1:23.64,4,9.76,1:23.61,1,9.27,1:22.55
2,9.61,1:32.607,3,9.79,1:32.932,4,14.45,1:38.087,0,,PEN,1,9.71,1:32.254
