KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
5,9.53,9.53,4,9.43,9.43,3,9.27,9.27,6,9.68,9.68,2,9.07,9.07,1,8.87,8.87
1,12.09,21.62,6,12.82,22.25,5,12.84,22.11,3,12.04,21.72,4,12.86,21.93,2,12.80,21.67
1,11.64,33.26,6,11.43,33.68,4,11.33,33.44,2,11.64,33.36,5,11.58,33.51,3,11.75,33.42
2,11.48,44.74,5,11.42,45.10,1,11.17,44.61,3,11.48,44.84,6,11.67,45.18,4,11.52,44.94
2,11.59,56.33,4,11.35,56.45,1,11.62,56.23,3,11.59,56.43,6,11.58,56.76,5,11.58,56.52
1,10.47,1:06.80,3,10.40,1:06.85,2,10.60,1:06.83,4,10.59,1:07.02,6,10.57,1:07.33,5,10.60,1:07.12
2,10.21,1:17.01,4,10.29,1:17.14,1,10.14,1:16.97,3,10.04,1:17.06,5,9.89,1:17.22,6,10.14,1:17.26
4,10.12,1:27.13,5,10.14,1:27.28,2,9.98,1:26.95,3,9.89,1:26.95,1,9.50,1:26.72,6,10.15,1:27.41
4,9.71,1:36.84,5,9.67,1:36.95,3,9.81,1:36.76,2,9.73,1:36.68,1,9.88,1:36.60,6,9.66,1:37.07
5,10.15,1:46.99,4,9.98,1:46.93,3,10.00,1:46.76,2,9.95,1:46.63,1,9.94,1:46.54,6,10.03,1:47.10
5,9.97,1:56.96,4,9.94,1:56.87,3,9.93,1:56.69,2,9.85,1:56.48,1,9.82,1:56.36,6,10.05,1:57.15
4,9.86,2:06.82,5,9.95,2:06.82,3,10.04,2:06.73,2,9.85,2:06.33,1,9.86,2:06.22,6,10.34,2:07.49
4,10.31,2:17.13,5,10.32,2:17.14,3,10.32,2:17.05,2,9.82,2:16.15,1,9.81,2:16.03,6,11.02,2:18.51
3,10.10,2:27.230,5,10.59,2:27.728,4,10.63,2:27.677,2,10.00,2:26.144,1,10.00,2:26.022,6,11.39,2:29.892
