Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,7.11,7.11,2,7.17,7.17,3,7.26,7.26,4,7.47,7.47
2,9.32,16.43,1,9.13,16.30,3,9.28,16.54,4,9.34,16.81
2,8.75,25.18,1,8.78,25.08,3,8.74,25.28,4,8.70,25.51
2,8.86,34.04,1,8.87,33.95,3,8.86,34.14,4,8.75,34.26
2,9.21,43.243,1,9.17,43.117,4,9.50,43.637,3,9.27,43.525
