Lenka ZAHUMENSKA POSITION,Lenka ZAHUMENSKA LAP TIME,Lenka ZAHUMENSKA ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Josipa TADIC POSITION,Josipa TADIC LAP TIME,Josipa TADIC ELAPSED TIME
2,9.66,9.66,3,9.77,9.77,4,9.81,9.81,1,9.64,9.64,5,10.20,10.20,6,10.34,10.34
1,14.88,24.54,2,14.88,24.65,4,15.09,24.90,3,15.14,24.78,5,15.04,25.24,6,15.04,25.38
1,13.57,38.11,2,13.58,38.23,4,13.57,38.47,3,13.58,38.36,5,13.56,38.80,6,13.55,38.93
1,13.07,51.18,2,13.05,51.28,3,12.83,51.30,4,12.99,51.35,5,12.96,51.76,6,12.96,51.89
1,11.57,1:02.75,3,11.68,1:02.96,2,11.55,1:02.85,4,11.71,1:03.06,5,11.57,1:03.33,6,11.59,1:03.48
1,11.67,1:14.42,3,11.63,1:14.59,2,11.66,1:14.51,4,11.63,1:14.69,5,11.54,1:14.87,6,11.52,1:15.00
2,11.92,1:26.34,3,11.88,1:26.47,1,11.78,1:26.29,4,11.86,1:26.55,5,11.87,1:26.74,6,11.89,1:26.89
3,11.38,1:37.72,4,11.27,1:37.74,2,11.24,1:37.53,1,10.87,1:37.42,5,11.02,1:37.76,6,11.54,1:38.43
5,10.66,1:48.38,4,10.26,1:48.00,3,10.23,1:47.76,2,10.10,1:47.52,1,9.72,1:47.48,6,12.01,1:50.44
5,10.58,1:58.96,4,9.84,1:57.84,3,9.96,1:57.72,2,9.97,1:57.49,1,9.82,1:57.30,6,12.19,2:02.63
5,11.05,2:10.01,4,9.97,2:07.81,3,10.01,2:07.73,2,10.09,2:07.58,1,10.16,2:07.46,6,12.70,2:15.33
5,11.64,2:21.65,4,10.22,2:18.03,3,10.21,2:17.94,2,10.14,2:17.72,1,10.08,2:17.54,6,14.61,2:29.94
5,12.18,2:33.83,4,10.40,2:28.43,3,10.37,2:28.31,2,10.31,2:28.03,1,10.18,2:27.72,6,13.23,2:43.17
0,,PEN,4,11.18,2:39.607,3,10.69,2:39.000,2,10.63,2:38.659,1,10.48,2:38.192,5,13.46,2:56.628
