Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME
1,8.25,8.25,3,8.47,8.47,5,8.76,8.76,2,8.35,8.35,4,8.60,8.60,6,8.90,8.90
1,10.55,18.80,3,10.51,18.98,5,10.42,19.18,2,10.53,18.88,4,10.45,19.05,6,10.42,19.32
1,10.01,28.81,3,10.03,29.01,5,10.05,29.23,2,10.04,28.92,4,10.05,29.10,6,10.05,29.37
1,10.02,38.83,3,10.02,39.03,4,9.91,39.14,2,10.00,38.92,4,10.04,39.14,6,9.93,39.30
2,9.78,48.61,4,9.78,48.81,1,9.32,48.46,2,9.69,48.61,5,9.80,48.94,6,9.77,49.07
3,9.59,58.20,4,9.49,58.30,1,9.54,58.00,2,9.50,58.11,5,9.45,58.39,6,9.40,58.47
3,9.92,1:08.12,4,9.92,1:08.22,1,9.93,1:07.93,2,9.90,1:08.01,5,9.92,1:08.31,6,9.94,1:08.41
3,10.00,1:18.12,5,10.08,1:18.30,2,10.02,1:17.95,1,9.78,1:17.79,4,9.87,1:18.18,6,10.01,1:18.42
6,10.87,1:28.99,4,9.73,1:28.03,2,9.86,1:27.81,1,9.90,1:27.69,3,9.81,1:27.99,5,9.71,1:28.13
6,10.43,1:39.42,1,9.33,1:37.36,3,9.78,1:37.59,2,9.78,1:37.47,4,9.74,1:37.73,5,9.76,1:37.89
6,10.45,1:49.87,1,9.20,1:46.56,3,9.34,1:46.93,2,9.43,1:46.90,4,9.48,1:47.21,5,9.47,1:47.36
6,10.71,2:00.58,1,9.29,1:55.85,2,9.41,1:56.34,5,10.84,1:57.74,3,9.63,1:56.84,4,9.58,1:56.94
6,10.92,2:11.50,1,9.61,2:05.46,2,9.52,2:05.86,5,11.89,2:09.63,3,9.89,2:06.73,4,9.90,2:06.84
5,10.93,2:22.399,1,9.90,2:15.36,2,9.83,2:15.69,6,12.86,2:22.456,3,10.31,2:17.04,4,10.28,2:17.098
