Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
1,10.45,10.45,2,10.64,10.64,3,10.83,10.83,4,11.05,11.05,5,11.33,11.33
1,14.90,25.35,2,14.85,25.49,3,14.82,25.65,4,14.77,25.82,5,14.76,26.09
1,13.09,38.44,2,13.10,38.59,3,13.09,38.74,4,13.07,38.89,5,12.97,39.06
1,12.94,51.38,2,12.91,51.50,4,12.87,51.61,5,12.85,51.74,3,12.50,51.56
2,11.52,1:02.90,3,11.46,1:02.96,4,11.51,1:03.12,5,11.49,1:03.23,1,11.25,1:02.81
2,11.83,1:14.73,3,11.90,1:14.86,4,11.94,1:15.06,5,11.99,1:15.22,1,11.90,1:14.71
1,11.16,1:25.89,3,11.21,1:26.07,4,11.15,1:26.21,5,11.07,1:26.29,2,11.30,1:26.01
3,10.59,1:36.48,1,10.15,1:36.22,4,10.38,1:36.59,5,10.40,1:36.69,2,10.32,1:36.33
3,9.86,1:46.34,1,9.84,1:46.06,4,9.82,1:46.41,5,9.82,1:46.51,2,9.79,1:46.12
5,9.95,1:56.29,1,9.54,1:55.60,3,9.41,1:55.82,4,9.40,1:55.91,2,9.58,1:55.70
5,10.24,2:06.53,1,9.44,2:05.04,4,9.64,2:05.46,3,9.37,2:05.28,2,9.44,2:05.14
5,10.57,2:17.10,1,9.52,2:14.56,4,9.60,2:15.06,2,9.31,2:14.59,3,9.48,2:14.62
5,11.26,2:28.36,3,10.27,2:24.83,4,9.97,2:25.03,2,9.82,2:24.41,1,9.66,2:24.28
4,11.56,2:39.918,2,10.12,2:34.944,3,10.14,2:35.166,0,,PEN,1,9.82,2:34.100
