Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,7.05,7.05,1,6.92,6.92,3,7.25,7.25,4,7.34,7.34
1,8.99,16.04,2,9.13,16.05,3,9.16,16.41,4,9.16,16.50
1,8.55,24.59,2,8.66,24.71,4,8.72,25.13,3,8.55,25.05
1,8.64,33.23,2,8.67,33.38,4,8.84,33.97,3,8.81,33.86
1,8.85,42.077,2,8.83,42.203,4,8.95,42.920,3,8.93,42.788
