Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,14.371,14.371,4,14.683,14.683,2,14.436,14.436,3,14.517,14.517
4,11.119,25.490,1,10.337,25.019,2,10.727,25.162,3,10.696,25.212
4,9.766,35.255,1,9.953,34.972,2,9.862,35.024,3,9.816,35.027
4,9.842,45.097,3,10.005,44.977,1,9.888,44.912,2,9.926,44.952
3,9.396,54.493,4,9.688,54.664,2,9.416,54.327,1,9.329,54.281
3,9.708,1:04.201,4,9.551,1:04.214,2,9.813,1:04.139,1,9.724,1:04.004
4,9.681,1:13.881,3,9.583,1:13.797,1,9.300,1:13.439,2,9.521,1:13.524
4,9.383,1:23.264,3,9.435,1:23.231,2,9.736,1:23.175,1,9.416,1:22.940
3,10.31,1:33.568,2,10.23,1:33.457,1,10.14,1:33.311,0,,DQ
