Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Evelien van KERCKVOORDE POSITION,Evelien van KERCKVOORDE LAP TIME,Evelien van KERCKVOORDE ELAPSED TIME
4,11.07,11.07,1,10.92,10.92,7,11.34,11.34,3,11.05,11.05,2,11.01,11.01,5,11.19,11.19,6,11.22,11.22
6,14.11,25.18,5,14.15,25.07,7,13.98,25.32,3,13.78,24.83,4,13.93,24.94,2,13.56,24.75,1,13.49,24.71
7,13.12,38.30,6,13.09,38.16,1,12.36,37.68,4,12.97,37.80,5,13.07,38.01,2,12.99,37.74,3,13.08,37.79
7,11.25,49.55,6,11.29,49.45,2,11.43,49.11,1,11.20,49.00,4,11.22,49.23,3,11.41,49.15,5,11.56,49.35
7,11.21,1:00.76,6,11.18,1:00.63,2,11.10,1:00.21,1,11.07,1:00.07,4,11.14,1:00.37,3,11.14,1:00.29,5,11.13,1:00.48
6,10.91,1:11.67,7,11.06,1:11.69,2,11.00,1:11.21,1,11.00,1:11.07,4,11.06,1:11.43,3,11.04,1:11.33,5,11.03,1:11.51
7,10.55,1:22.22,6,10.47,1:22.16,1,10.41,1:21.62,2,10.56,1:21.63,4,10.44,1:21.87,3,10.49,1:21.82,5,10.54,1:22.05
6,10.10,1:32.32,5,9.98,1:32.14,1,10.08,1:31.70,1,10.07,1:31.70,3,9.96,1:31.83,7,10.75,1:32.57,4,10.03,1:32.08
4,9.80,1:42.12,3,9.76,1:41.90,1,9.90,1:41.60,7,20.79,1:52.49,2,9.87,1:41.70,6,10.10,1:42.67,5,10.12,1:42.20
4,10.00,1:52.12,3,10.05,1:51.95,1,10.18,1:51.78,7,21.48,2:13.97,2,10.12,1:51.82,6,10.49,1:53.16,5,10.48,1:52.68
4,10.12,2:02.24,3,10.17,2:02.12,2,10.17,2:01.95,7,14.58,2:28.55,1,9.93,2:01.75,6,10.66,2:03.82,5,10.93,2:03.61
4,9.87,2:12.11,3,9.84,2:11.96,2,9.53,2:11.48,7,12.70,2:41.25,1,9.51,2:11.26,5,11.00,2:14.82,6,11.48,2:15.09
4,10.06,2:22.17,3,10.10,2:22.06,2,9.57,2:21.05,7,12.37,2:53.62,1,9.58,2:20.84,5,11.47,2:26.29,6,12.01,2:27.10
4,10.38,2:32.550,3,10.47,2:32.537,2,10.07,2:31.125,7,12.19,3:05.816,1,9.68,2:30.525,5,12.04,2:38.334,6,12.89,2:39.999
