PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME
2,13.88,13.88,4,14.17,14.17,3,14.04,14.04,1,13.76,,5,14.21,14.21
2,11.05,24.93,4,11.00,25.17,3,11.03,25.07,1,11.05,,5,11.08,25.29
2,10.83,35.76,3,10.76,35.93,3,10.86,35.93,1,10.88,,5,10.82,36.11
2,10.26,46.02,3,10.18,46.11,4,10.33,46.26,1,10.19,,5,10.28,46.39
2,9.86,55.88,3,9.86,55.97,4,9.82,56.08,1,9.91,,5,9.82,56.21
1,9.57,1:05.45,3,9.69,1:05.66,4,9.69,1:05.77,2,9.76,,5,9.86,1:06.07
1,9.56,1:15.01,2,9.47,1:15.13,4,9.48,1:15.25,3,9.64,,5,10.28,1:16.35
1,9.66,1:24.67,2,9.63,1:24.76,4,9.67,1:24.92,3,9.65,,5,10.95,1:27.30
1,9.83,1:34.50,2,9.93,1:34.69,3,9.85,1:34.77,5,21.71,,4,11.92,1:39.22
