Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
3,11.78,11.78,5,12.36,12.36,2,11.67,11.67,6,12.60,12.60,4,12.17,,1,11.46,11.46
1,13.20,24.98,5,13.29,25.65,3,13.55,25.22,6,13.21,25.81,4,13.32,,2,13.61,25.07
1,11.99,36.97,5,11.85,37.50,3,12.06,37.28,6,11.82,37.63,4,11.90,,2,12.06,37.13
1,11.86,48.83,5,11.82,49.32,3,11.79,49.07,6,11.80,49.43,4,11.80,,2,11.82,48.95
1,12.21,1:01.04,5,12.15,1:01.47,3,12.18,1:01.25,6,12.15,1:01.58,4,12.15,,2,12.18,1:01.13
1,11.53,1:12.57,5,11.60,1:13.07,3,11.54,1:12.79,6,11.70,1:13.28,4,11.62,,2,11.57,1:12.70
1,11.05,1:23.62,5,10.98,1:24.05,3,11.07,1:23.86,6,10.90,1:24.18,4,11.00,,2,11.05,1:23.75
1,11.03,1:34.65,5,11.07,1:35.12,3,11.06,1:34.92,6,11.09,1:35.27,4,11.04,,2,11.02,1:34.77
1,10.10,1:44.75,5,10.30,1:45.42,2,10.17,1:45.09,6,10.47,1:45.74,3,10.22,,3,10.45,1:45.22
1,9.49,1:54.24,4,9.45,1:54.87,2,9.26,1:54.35,6,10.02,1:55.76,3,9.31,,5,10.35,1:55.57
2,9.26,2:03.50,4,9.01,2:03.88,1,9.01,2:03.36,5,10.50,2:06.26,3,9.04,,6,10.70,2:06.27
4,9.66,2:13.16,3,9.07,2:12.95,1,9.27,2:12.63,5,10.45,2:16.71,2,9.26,,6,11.25,2:17.52
4,9.66,2:22.82,3,9.15,2:22.10,1,9.18,2:21.81,5,10.93,2:27.64,2,9.11,,6,11.61,2:29.13
3,10.19,2:32.994,2,9.25,2:31.329,1,9.40,2:31.197,4,11.22,2:38.833,1,9.01,,5,12.01,2:41.110
