Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
3,11.09,11.09,1,10.90,10.90,2,10.98,10.98,4,11.22,11.22,5,11.47,11.47
3,15.93,27.02,2,15.72,26.62,1,15.41,26.39,4,16.02,27.24,5,15.90,27.37
3,13.33,40.35,2,13.42,40.04,1,13.49,39.88,4,13.30,40.54,5,13.38,40.75
3,12.39,52.74,2,12.47,52.51,1,12.51,52.39,4,12.35,52.89,5,12.27,53.02
3,12.09,1:04.83,2,12.09,1:04.60,1,12.03,1:04.42,4,12.07,1:04.96,5,12.08,1:05.10
3,11.57,1:16.40,2,11.66,1:16.26,1,11.70,1:16.12,4,11.56,1:16.52,5,11.57,1:16.67
2,10.54,1:26.94,1,10.60,1:26.86,3,10.87,1:26.99,4,10.55,1:27.07,5,10.74,1:27.41
3,9.82,1:36.76,2,9.78,1:36.64,4,9.89,1:36.88,1,9.46,1:36.53,5,9.70,1:37.11
3,9.62,1:46.38,1,9.57,1:46.21,4,9.76,1:46.64,2,9.80,1:46.33,5,9.66,1:46.77
1,9.19,1:55.57,2,9.55,1:55.76,4,9.21,1:55.85,3,9.52,1:55.85,5,9.28,1:56.05
1,9.12,2:04.69,2,9.20,2:04.96,4,9.43,2:05.28,3,9.25,2:05.10,5,9.27,2:05.32
1,9.13,2:13.82,3,9.25,2:14.21,5,9.27,2:14.55,4,9.23,2:14.33,2,8.70,2:14.02
2,9.13,2:22.95,3,9.43,2:23.64,5,9.43,2:23.98,4,9.46,2:23.79,1,8.74,2:22.76
2,9.10,2:32.041,3,9.91,2:33.542,4,9.61,2:33.581,5,9.84,2:33.627,1,8.98,2:31.739
