AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
2,12.650,12.650,1,12.490,12.490,3,12.650,12.650,4,12.830,12.830
2,9.790,22.440,1,9.760,22.260,3,9.880,22.530,4,9.830,22.670
2,9.960,32.400,1,10.050,32.310,3,10.060,32.590,4,9.980,32.650
2,10.050,42.460,1,10.090,42.410,3,9.920,42.520,4,9.960,42.610
3,9.390,51.850,1,9.190,51.600,2,9.310,51.840,4,9.310,51.930
2,9.200,1:01.050,1,9.110,1:00.720,3,9.310,1:01.150,4,9.240,1:01.180
1,9.030,1:10.080,2,9.620,1:10.340,4,9.500,1:10.650,3,9.380,1:10.560
1,9.530,1:19.610,2,9.380,1:19.730,4,9.330,1:19.990,3,9.250,1:19.820
2,9.720,1:29.330,1,9.570,1:29.300,3,9.500,1:29.490,4,15.510,1:35.340
