Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,14.25,14.25,1,14.15,14.15,3,14.48,14.48
2,10.32,24.57,1,10.31,24.46,3,10.27,24.75
2,10.07,34.64,1,10.09,34.55,3,10.02,34.77
2,10.21,44.85,1,10.20,44.75,3,10.24,45.01
3,10.27,55.12,1,10.27,55.02,2,10.07,55.08
3,10.23,1:05.35,2,10.28,1:05.30,1,9.45,1:04.53
3,10.41,1:15.76,2,10.37,1:15.67,1,9.85,1:14.38
3,10.63,1:26.39,2,10.60,1:26.27,1,10.16,1:24.54
3,10.64,1:37.029,2,10.71,1:36.973,1,10.46,1:34.992
