XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Nicole MARTINELLI POSITION,Nicole MARTINELLI LAP TIME,Nicole MARTINELLI ELAPSED TIME,Lucia Ana ILIJIC POSITION,Lucia Ana ILIJIC LAP TIME,Lucia Ana ILIJIC ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Marta PASKEVICA POSITION,Marta PASKEVICA LAP TIME,Marta PASKEVICA ELAPSED TIME
4,11.15,11.15,1,10.74,10.74,3,10.93,10.93,5,11.36,11.36,2,10.83,10.83
4,14.66,25.81,1,14.66,25.40,3,14.69,25.62,5,14.61,25.97,2,14.71,25.54
4,14.29,40.10,1,14.23,39.63,3,14.31,39.93,5,14.30,40.27,2,14.27,39.81
4,14.54,54.64,1,14.52,54.15,3,14.46,54.39,5,14.56,54.83,2,14.47,54.28
4,14.70,1:09.34,1,14.80,1:08.95,3,14.71,1:09.10,5,14.70,1:09.53,2,14.73,1:09.01
4,14.92,1:24.26,1,14.93,1:23.88,3,14.91,1:24.01,5,14.90,1:24.43,2,14.97,1:23.98
4,14.14,1:38.40,2,14.10,1:37.98,3,14.24,1:38.25,5,14.11,1:38.54,1,13.84,1:37.82
2,10.63,1:49.03,3,11.09,1:49.07,4,11.02,1:49.27,5,10.81,1:49.35,1,11.12,1:48.94
1,9.70,1:58.73,2,10.14,1:59.21,5,10.72,1:59.99,4,10.22,1:59.57,3,10.33,1:59.27
1,9.62,2:08.35,2,10.01,2:09.22,5,10.87,2:10.86,3,9.73,2:09.30,4,10.29,2:09.56
1,9.74,2:18.09,2,10.23,2:19.45,5,11.09,2:21.95,3,10.23,2:19.53,4,10.47,2:20.03
1,9.93,2:28.02,2,10.57,2:30.02,5,11.37,2:33.32,3,10.57,2:30.10,4,10.94,2:30.97
1,10.35,2:38.37,3,11.05,2:41.07,5,11.86,2:45.18,2,10.93,2:41.03,4,11.45,2:42.42
1,11.36,2:49.727,3,11.75,2:52.814,5,12.16,2:57.339,2,10.63,2:51.652,4,11.97,2:54.383
