Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,12.36,12.36,2,12.45,12.45,4,12.70,12.70,3,12.70,12.70
1,9.69,22.05,2,9.71,22.17,4,9.58,22.29,3,9.54,22.25
2,9.79,31.84,1,9.30,31.48,4,9.65,31.94,3,9.64,31.89
1,9.26,41.10,2,9.74,41.22,4,18.29,50.23,3,9.56,41.46
2,9.45,50.56,1,9.28,50.50,0,,,3,9.26,50.72
3,9.14,59.71,2,9.15,59.66,1,0.00,59.06,4,9.31,1:00.03
3,9.17,1:08.88,2,8.27,1:07.93,1,8.86,1:07.92,4,9.16,1:09.20
3,9.20,1:18.08,2,10.06,1:18.00,1,9.16,1:17.08,4,9.20,1:18.40
2,9.58,1:27.660,0,,DQ,1,9.90,1:26.971,3,9.49,1:27.882
