Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME
3,6.987,6.987,1,6.725,6.725,2,6.915,6.915,4,7.127,7.127
3,9.120,16.106,1,9.066,15.791,2,9.190,16.105,4,9.415,16.542
3,8.934,25.040,1,8.972,24.763,2,8.710,24.815,4,8.504,25.045
4,18.286,43.325,3,9.429,34.191,1,9.045,33.860,2,8.927,33.972
4,20.86,1:04.185,3,9.72,43.910,1,9.39,43.243,2,9.35,43.321
