JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,BURNETT Chenai POSITION,BURNETT Chenai LAP TIME,BURNETT Chenai ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
2,7.919,7.919,3,8.030,8.030,1,7.735,7.735,4,8.460,8.460
2,9.735,17.654,3,9.848,17.877,1,9.683,17.417,4,9.924,18.384
2,9.407,27.060,3,9.611,27.487,1,9.528,26.945,4,9.455,27.838
1,9.575,36.634,4,23.864,51.351,2,9.945,36.889,3,10.186,38.024
1,9.72,46.353,4,14.76,1:06.104,2,9.95,46.837,3,9.94,47.956
