Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
3,6.96,6.96,1,6.73,6.73,2,6.85,6.85,4,7.04,7.04
3,9.05,16.01,1,9.06,15.79,2,9.05,15.90,4,9.02,16.06
3,8.59,24.60,1,8.72,24.51,2,8.69,24.59,4,8.75,24.81
2,8.86,33.46,1,8.85,33.36,3,8.96,33.55,4,8.86,33.67
1,8.95,42.403,3,9.16,42.516,2,8.97,42.515,4,8.93,42.593
