Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,9.78,9.78,2,9.87,9.87,3,9.90,9.90,4,10.05,10.05,5,10.11,10.11,6,10.30,10.30
5,13.52,23.30,1,12.87,22.74,3,13.10,23.00,6,13.37,23.42,4,13.02,23.13,2,12.55,22.85
5,11.95,35.25,2,12.12,34.86,1,11.76,34.76,6,11.96,35.38,4,11.97,35.10,3,12.13,34.98
5,11.76,47.01,3,11.78,46.64,2,11.78,46.54,6,11.76,47.14,4,11.75,46.85,1,11.56,46.54
4,10.71,57.72,3,11.03,57.67,2,11.06,57.60,6,10.66,57.80,5,10.94,57.79,1,11.00,57.54
1,10.04,1:07.76,5,10.35,1:08.02,3,10.32,1:07.92,2,10.03,1:07.83,6,10.42,1:08.21,4,10.39,1:07.93
3,9.67,1:17.43,1,9.19,1:17.21,2,9.37,1:17.29,5,9.67,1:17.50,4,9.23,1:17.44,6,9.71,1:17.64
4,9.12,1:26.55,3,9.21,1:26.42,1,9.03,1:26.32,5,9.14,1:26.64,2,8.93,1:26.37,6,9.09,1:26.73
3,8.83,1:35.38,4,8.97,1:35.39,1,8.93,1:35.25,5,8.92,1:35.56,2,8.95,1:35.32,6,8.97,1:35.70
4,9.46,1:44.84,5,9.49,1:44.88,1,9.41,1:44.66,3,9.20,1:44.76,2,9.38,1:44.70,6,9.24,1:44.94
2,9.25,1:54.09,3,9.23,1:54.11,6,23.04,2:07.70,1,9.28,1:54.04,5,10.53,1:55.23,4,9.36,1:54.30
2,8.90,2:02.99,3,9.07,2:03.18,6,16.67,2:24.37,1,8.82,2:02.86,5,9.83,2:05.06,4,8.94,2:03.24
2,8.86,2:11.85,4,9.06,2:12.24,6,16.88,2:41.25,1,8.86,2:11.72,5,10.32,2:15.38,3,8.95,2:12.19
2,8.96,2:20.807,4,9.48,2:21.715,0,,notime,1,8.99,2:20.704,0,,PEN,3,9.11,2:21.298
