KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
2,7.43,7.43,1,7.28,7.28,3,7.55,7.55,4,7.56,7.56
2,9.48,16.91,1,9.45,16.73,3,9.46,17.01,4,9.80,17.36
2,8.97,25.88,1,9.03,25.76,3,8.96,25.97,4,9.23,26.59
3,9.33,35.21,1,9.19,34.95,2,9.20,35.17,4,9.49,36.08
3,9.68,44.885,1,9.54,44.488,2,9.39,44.554,4,9.80,45.877
