VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,ZYCH Magdalena POSITION,ZYCH Magdalena LAP TIME,ZYCH Magdalena ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,HAYWARD Charlotte POSITION,HAYWARD Charlotte LAP TIME,HAYWARD Charlotte ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
1,12.40,12.40,3,12.71,12.71,4,12.87,12.87,2,12.56,12.56,6,13.04,13.04,5,12.94,12.94,7,13.30,13.30
2,16.49,28.89,4,16.37,29.08,5,16.41,29.28,3,16.45,29.01,1,15.75,28.79,6,16.37,29.31,7,16.31,29.61
2,14.44,43.33,5,14.75,43.83,6,14.66,43.94,3,14.41,43.42,4,14.81,43.60,1,13.58,42.89,7,14.49,44.10
2,12.55,55.88,5,12.38,56.21,6,12.47,56.41,3,12.55,55.97,4,12.48,56.08,1,12.88,55.77,7,12.46,56.56
2,12.30,1:08.18,4,12.18,1:08.39,6,12.22,1:08.63,3,12.33,1:08.30,5,12.35,1:08.43,1,12.30,1:08.07,7,12.27,1:08.83
2,10.81,1:18.99,1,10.47,1:18.86,3,10.39,1:19.02,5,10.82,1:19.12,6,10.94,1:19.37,4,11.03,1:19.10,7,10.63,1:19.46
4,10.18,1:29.17,1,10.08,1:28.94,3,10.10,1:29.12,2,9.92,1:29.04,5,9.89,1:29.26,6,10.23,1:29.33,7,9.91,1:29.37
5,10.30,1:39.47,1,10.17,1:39.11,4,10.24,1:39.36,2,10.19,1:39.23,7,10.33,1:39.59,6,10.25,1:39.58,3,9.88,1:39.25
4,9.55,1:49.02,2,9.69,1:48.80,5,9.88,1:49.24,3,9.69,1:48.92,6,9.75,1:49.34,7,10.49,1:50.07,1,9.40,1:48.65
3,9.51,1:58.53,2,9.60,1:58.40,5,9.91,1:59.15,4,9.76,1:58.68,6,9.94,1:59.28,7,11.16,2:01.23,1,9.67,1:58.32
2,9.64,2:08.17,3,9.92,2:08.32,5,10.23,2:09.38,4,9.97,2:08.65,6,10.24,2:09.52,7,11.90,2:13.13,1,9.77,2:08.09
2,9.85,2:18.02,3,9.84,2:18.16,5,10.54,2:19.92,4,10.35,2:19.00,6,10.60,2:20.12,7,12.36,2:25.49,1,9.85,2:17.94
2,10.02,2:28.04,3,10.00,2:28.16,5,10.92,2:30.84,4,10.82,2:29.82,7,25.71,2:45.83,6,13.52,2:39.01,1,10.02,2:27.96
0,10.24,2:38.28,3,10.18,2:38.340,5,11.45,2:42.291,4,11.11,2:40.934,7,19.68,3:05.511,6,12.89,2:51.904,0,10.31,2:38.27
