AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,LIM Kyoung Won POSITION,LIM Kyoung Won LAP TIME,LIM Kyoung Won ELAPSED TIME
2,6.97,,3,7.11,7.11,1,6.74,6.74,5,7.23,7.23,4,7.18,7.18
2,8.77,,3,8.77,15.88,1,8.74,15.48,5,9.05,16.28,4,8.94,16.12
2,8.35,,3,8.31,24.19,1,8.44,23.92,5,8.57,24.85,4,8.20,24.32
5,25.33,,2,8.47,32.66,1,8.53,32.45,4,8.77,33.62,3,8.42,32.74
5,24.12,1:13.54,3,8.84,41.50,1,8.78,41.23,4,8.98,42.60,2,8.64,41.38
