Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
4,12.87,12.87,3,12.78,12.78,1,12.72,12.72,2,12.73,12.73
2,9.99,22.86,4,10.19,22.97,3,10.14,22.86,1,9.99,22.72
2,9.92,32.78,3,9.90,32.87,4,10.09,32.95,1,9.96,32.68
2,9.71,42.49,3,9.69,42.56,4,9.82,42.77,1,9.71,42.39
2,9.37,51.86,3,9.41,51.97,4,9.29,52.06,1,9.33,51.72
2,9.02,1:00.88,3,9.06,1:01.03,4,9.07,1:01.13,1,9.15,1:00.87
3,8.90,1:09.78,2,8.74,1:09.77,4,8.84,1:09.97,1,8.89,1:09.76
2,9.02,1:18.80,1,8.77,1:18.54,3,9.12,1:19.09,4,9.34,1:19.10
2,8.92,1:27.713,1,9.00,1:27.533,3,8.68,1:27.766,4,9.50,1:28.594
