Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Kim de DAPPER POSITION,Kim de DAPPER LAP TIME,Kim de DAPPER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
0,9.722,9.722,0,9.882,9.882,0,10.008,10.008,0,9.777,9.777,0,9.550,9.550
0,13.568,23.290,0,13.508,23.390,0,13.164,23.172,0,13.585,23.362,0,13.709,23.260
0,12.431,35.721,0,12.461,35.851,0,12.227,35.399,0,12.512,35.874,0,11.920,35.180
0,12.452,48.172,0,12.444,48.296,0,12.625,48.024,0,12.418,48.291,0,,
0,11.994,1:00.167,0,12.018,1:00.313,0,12.013,1:00.037,0,11.983,1:00.274,0,,59.464
0,10.751,1:10.918,0,10.698,1:11.011,0,10.890,1:10.927,0,10.807,1:11.081,0,11.203,1:10.667
0,10.488,1:21.406,0,10.512,1:21.523,0,10.423,1:21.349,0,10.579,1:21.660,0,10.822,1:21.489
0,10.898,1:32.305,0,10.918,1:32.441,0,11.000,1:32.349,0,10.825,1:32.485,0,10.381,1:31.870
0,10.918,1:43.223,0,10.939,1:43.380,0,11.072,1:43.421,0,11.006,1:43.491,0,11.537,1:43.407
0,10.529,1:53.752,0,10.448,1:53.828,0,10.228,1:53.649,0,10.535,1:54.027,0,10.253,1:53.659
0,9.901,2:03.653,0,9.964,2:03.792,0,10.445,2:04.094,0,10.451,2:04.478,0,10.078,2:03.737
0,9.936,2:13.589,0,9.957,2:13.749,0,10.034,2:14.129,0,10.853,2:15.330,0,10.096,2:13.833
0,10.149,2:23.738,0,10.081,2:23.830,0,10.522,2:24.651,0,11.406,2:26.737,0,10.069,2:23.902
0,10.262,2:33.999,0,10.264,2:34.093,0,11.522,2:36.172,0,12.232,2:38.969,0,9.437,2:33.339
