Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME
1,13.15,13.15,3,13.39,13.39,5,13.60,13.60,4,13.50,13.50,2,13.26,13.26
1,10.71,23.86,3,10.67,24.06,5,10.65,24.25,4,10.65,24.15,2,10.70,23.96
1,10.33,34.19,3,10.34,34.40,5,10.34,34.59,4,10.35,34.50,2,10.34,34.30
2,9.95,44.14,3,9.86,44.26,5,9.90,44.49,4,9.85,44.35,1,9.83,44.13
2,9.51,53.65,3,9.47,53.73,5,9.42,53.91,4,9.46,53.81,1,9.46,53.59
2,9.63,1:03.28,3,9.66,1:03.39,5,9.71,1:03.62,4,9.66,1:03.47,1,9.59,1:03.18
2,9.52,1:12.80,3,9.49,1:12.88,5,9.52,1:13.14,4,9.50,1:12.97,1,9.46,1:12.64
3,9.45,1:22.25,2,9.37,1:22.25,5,9.73,1:22.87,4,9.37,1:22.34,1,9.50,1:22.14
3,10.10,1:32.349,0,,PEN,4,10.24,1:33.101,2,9.52,1:31.860,1,9.64,1:31.775
