Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,13.14,13.14,2,13.23,13.23,3,13.31,13.31,4,13.50,13.50
2,10.25,23.39,1,10.07,23.30,3,10.19,23.50,4,10.13,23.63
2,10.08,33.47,1,10.04,33.34,3,10.08,33.58,4,10.08,33.71
2,10.00,43.47,1,10.01,43.35,3,9.99,43.57,4,9.96,43.67
2,9.79,53.26,1,9.80,53.15,3,9.79,53.36,4,9.80,53.47
1,9.10,1:02.36,2,9.39,1:02.54,3,9.24,1:02.60,4,9.34,1:02.81
1,8.91,1:11.27,3,9.05,1:11.59,2,8.75,1:11.35,4,9.01,1:11.82
1,9.09,1:20.36,3,9.18,1:20.77,2,9.08,1:20.43,4,9.09,1:20.91
1,9.31,1:29.666,3,9.47,1:30.237,2,9.32,1:29.743,4,9.42,1:30.330
