Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME
1,8.368,8.368,3,8.665,8.665,6,9.098,9.098,2,8.581,8.581,5,8.928,8.928,4,8.861,8.861
2,12.123,20.490,4,11.953,20.617,6,11.919,21.017,3,12.018,20.599,1,11.451,20.378,5,12.060,20.920
2,11.465,31.954,4,11.426,32.043,6,11.376,32.392,3,11.384,31.983,1,11.488,31.865,5,11.421,32.341
2,11.732,43.686,4,11.785,43.827,6,11.716,44.108,3,11.763,43.746,1,11.706,43.571,5,11.685,44.026
1,11.743,55.429,4,11.866,55.693,6,11.951,56.058,3,11.752,55.497,2,11.884,55.454,5,11.900,55.926
2,11.059,1:06.487,4,10.990,1:06.683,5,10.797,1:06.855,1,10.918,1:06.415,3,11.119,1:06.573,6,11.031,1:06.956
2,10.953,1:17.439,5,11.023,1:17.705,6,11.047,1:17.901,1,10.640,1:17.054,3,10.981,1:17.554,4,10.737,1:17.693
2,10.039,1:27.478,4,9.982,1:27.686,6,10.183,1:28.084,1,10.236,1:27.290,3,10.043,1:27.597,5,10.135,1:27.827
2,10.078,1:37.555,4,10.223,1:37.909,6,10.543,1:38.626,1,10.146,1:37.436,3,10.125,1:37.722,5,10.108,1:37.934
2,9.676,1:47.231,4,9.613,1:47.522,6,10.987,1:49.612,1,9.559,1:46.995,3,9.717,1:47.439,5,9.938,1:47.872
2,9.720,1:56.950,3,9.537,1:57.058,6,11.564,2:01.176,1,9.584,1:56.578,4,9.691,1:57.129,5,10.007,1:57.878
3,10.019,2:06.969,2,9.562,2:06.619,6,12.720,2:13.896,1,9.790,2:06.368,4,9.865,2:06.994,5,10.419,2:08.296
4,10.285,2:17.253,2,9.770,2:16.389,6,14.497,2:28.392,1,9.785,2:16.152,3,10.140,2:17.134,5,11.226,2:19.521
4,10.55,2:27.803,2,10.27,2:26.654,6,14.31,2:42.694,1,10.32,2:26.470,3,10.50,2:27.627,5,12.29,2:31.809
