Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
4,14.03,14.03,2,13.85,13.85,1,13.84,13.84,3,13.98,13.98
4,10.52,24.55,3,10.56,24.41,1,10.35,24.19,2,10.29,24.27
4,9.87,34.42,3,9.93,34.34,1,10.05,34.24,2,10.06,34.33
2,9.32,43.74,1,9.24,43.58,3,9.50,43.74,4,9.56,43.89
2,9.40,53.14,1,9.45,53.03,3,9.42,53.16,4,9.46,53.35
2,9.28,1:02.42,1,9.31,1:02.34,3,9.37,1:02.53,4,9.30,1:02.65
1,9.18,1:11.60,2,9.30,1:11.64,4,9.32,1:11.85,3,9.18,1:11.83
1,8.92,1:20.52,2,9.04,1:20.68,4,9.39,1:21.24,3,9.30,1:21.13
1,9.09,1:29.606,2,9.23,1:29.906,4,9.58,1:30.818,3,9.65,1:30.780
