JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
1,6.90,6.90,2,7.09,,3,7.24,7.24,4,7.37,7.37
1,8.99,15.89,2,9.04,,3,8.97,16.21,4,9.18,16.55
1,8.55,24.44,2,8.52,,3,8.56,24.77,4,8.85,25.40
1,8.80,33.24,2,8.66,,3,8.66,33.43,4,9.04,34.44
1,9.08,42.32,4,29.58,,2,9.08,42.51,3,9.18,43.62
