MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME
2,12.93,12.93,1,12.80,12.80,3,13.00,13.00,5,13.10,13.10,4,13.08,13.08
3,9.79,22.72,1,9.79,22.59,2,9.61,22.61,5,9.86,22.96,4,9.75,22.83
3,9.06,31.78,2,9.09,31.68,1,8.96,31.57,5,8.89,31.85,4,9.00,31.83
3,9.11,40.89,2,9.11,40.79,1,9.15,40.72,4,9.09,40.94,5,9.21,41.04
3,9.19,50.08,2,9.19,49.98,1,9.15,49.87,4,9.18,50.12,5,9.15,50.19
3,9.08,59.16,2,9.08,59.06,1,9.07,58.94,5,9.12,59.24,4,9.03,59.22
3,9.06,1:08.22,2,9.07,1:08.13,1,9.11,1:08.05,5,9.22,1:08.46,4,9.09,1:08.31
2,9.18,1:17.40,3,9.29,1:17.42,1,9.30,1:17.35,5,9.23,1:17.69,4,9.15,1:17.46
0,9.57,1:26.97,5,10.13,1:27.554,0,9.60,1:26.95,4,9.52,1:27.215,0,9.50,1:26.96
