Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,12.532,12.532,2,12.549,12.549,5,12.928,12.928,4,12.751,12.751,3,12.664,12.664
2,10.021,22.552,1,9.944,22.492,5,9.977,22.904,4,10.050,22.801,3,9.999,22.663
3,9.911,32.463,1,9.620,32.111,5,9.726,32.630,2,9.496,32.296,4,9.896,32.558
3,9.797,42.260,1,9.798,41.909,5,9.759,42.388,2,9.861,42.157,4,9.755,42.312
3,9.560,51.819,1,9.700,51.609,5,9.683,52.071,2,9.520,51.676,4,9.568,51.879
4,9.471,1:01.290,2,9.501,1:01.109,5,9.382,1:01.453,1,9.349,1:01.024,3,9.389,1:01.268
5,9.428,1:10.717,2,9.193,1:10.302,4,9.081,1:10.533,1,9.209,1:10.232,3,9.210,1:10.477
5,9.217,1:19.934,2,9.260,1:19.562,3,9.248,1:19.780,1,9.309,1:19.541,4,9.338,1:19.814
3,9.51,1:29.435,4,9.94,1:29.499,2,9.53,1:29.302,1,9.75,1:29.289,5,10.31,1:30.117
