Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
3,9.92,9.92,4,10.08,10.08,6,10.34,10.34,1,9.76,9.76,2,9.77,9.77,5,10.19,10.19
2,14.44,24.36,5,14.42,24.50,6,14.26,24.60,3,14.60,24.36,1,14.48,24.25,4,14.27,24.46
2,12.94,37.30,5,13.22,37.72,6,13.27,37.87,1,12.80,37.16,3,13.20,37.45,4,13.10,37.56
2,12.42,49.72,6,12.38,50.10,4,12.09,49.96,1,12.44,49.60,3,12.39,49.84,5,12.42,49.98
2,12.32,1:02.04,6,12.36,1:02.46,5,12.35,1:02.31,1,12.30,1:01.90,3,12.32,1:02.16,4,12.29,1:02.27
2,12.40,1:14.44,6,12.44,1:14.90,5,12.46,1:14.77,1,12.44,1:14.34,4,12.40,1:14.56,3,12.27,1:14.54
2,11.13,1:25.57,6,11.26,1:26.16,5,11.24,1:26.01,3,11.40,1:25.74,1,10.89,1:25.45,4,11.28,1:25.82
1,10.58,1:36.15,6,10.38,1:36.54,5,10.42,1:36.43,3,10.52,1:36.26,2,10.72,1:36.17,4,10.49,1:36.31
1,10.37,1:46.52,6,10.28,1:46.82,5,10.38,1:46.81,4,10.42,1:46.68,3,10.42,1:46.59,2,10.23,1:46.54
1,10.15,1:56.67,2,9.92,1:56.74,6,10.20,1:57.01,5,10.21,1:56.89,4,10.18,1:56.77,3,10.21,1:56.75
2,9.73,2:06.40,1,9.47,2:06.21,5,9.89,2:06.90,6,10.05,2:06.94,3,9.79,2:06.56,4,9.94,2:06.69
2,9.59,2:15.99,1,9.70,2:15.91,5,9.48,2:16.38,6,10.36,2:17.30,3,9.65,2:16.21,4,9.61,2:16.30
2,9.68,2:25.67,1,9.65,2:25.56,3,9.59,2:25.97,6,10.70,2:28.00,4,9.90,2:26.11,5,9.91,2:26.21
3,9.90,2:35.571,1,9.72,2:35.277,2,9.60,2:35.561,6,10.94,2:38.937,4,10.23,2:36.336,5,10.18,2:36.389
