Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,6.85,6.85,2,7.00,7.00,3,7.11,7.11,5,7.35,,4,7.19,7.19
1,9.01,15.86,4,9.10,16.10,2,8.83,15.94,5,8.86,,3,8.82,16.01
2,8.60,24.46,5,8.82,24.92,1,8.47,24.41,4,8.56,,3,8.51,24.52
3,8.93,33.39,5,8.95,33.87,1,8.51,32.92,4,8.75,,2,8.74,33.26
4,22.34,55.676,3,8.99,42.853,1,8.56,41.472,3,9.30,,2,8.49,41.751
