Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ivita KRUMINA POSITION,Ivita KRUMINA LAP TIME,Ivita KRUMINA ELAPSED TIME
4,9.266,9.266,2,9.080,9.080,6,9.374,9.374,3,9.161,9.161,1,8.904,8.904,5,9.331,9.331
6,12.700,21.965,4,12.775,21.855,1,12.156,21.530,3,12.680,21.841,2,12.753,21.657,5,12.585,21.915
5,11.423,33.388,2,11.209,33.064,1,11.412,32.942,3,11.407,33.248,4,11.672,33.328,6,11.526,33.441
4,11.518,44.905,3,11.733,44.797,2,11.822,44.764,1,11.434,44.681,5,11.771,45.099,6,11.677,45.117
5,11.282,56.187,1,11.083,55.879,3,11.223,55.987,2,11.296,55.976,4,11.027,56.126,6,11.147,56.264
5,11.249,1:07.435,2,11.188,1:07.067,4,11.283,1:07.269,3,11.164,1:07.139,1,10.880,1:07.005,6,11.259,1:07.523
5,11.107,1:18.542,1,11.208,1:18.274,2,11.037,1:18.305,4,11.194,1:18.332,3,11.307,1:18.311,6,11.106,1:18.629
5,11.519,1:30.061,2,11.536,1:29.809,4,11.543,1:29.848,1,11.465,1:29.797,3,11.531,1:29.842,6,11.524,1:30.153
5,11.445,1:41.506,2,11.436,1:41.244,4,11.460,1:41.307,3,11.469,1:41.265,1,11.370,1:41.211,6,11.571,1:41.724
5,10.837,1:52.342,1,10.612,1:51.856,2,10.780,1:52.086,3,10.839,1:52.104,4,10.942,1:52.153,6,11.830,1:53.554
5,10.191,2:02.533,1,10.258,2:02.113,3,10.179,2:02.265,2,10.095,2:02.199,4,10.284,2:02.437,6,12.250,2:05.804
4,10.236,2:12.768,2,10.210,2:12.323,3,10.098,2:12.363,1,10.108,2:12.306,5,10.361,2:12.797,6,12.998,2:18.801
5,10.636,2:23.404,2,10.169,2:22.491,3,10.208,2:22.570,1,10.159,2:22.464,4,10.445,2:23.241,6,14.579,2:33.380
5,10.79,2:34.188,1,10.37,2:32.857,3,10.46,2:33.022,2,10.47,2:32.934,4,10.75,2:33.982,6,14.16,2:47.531
