LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME
5,9.39,9.39,1,8.75,8.75,2,8.90,8.90,4,9.07,9.07,3,8.96,8.96
3,12.36,21.75,1,12.46,21.22,5,13.01,21.91,4,12.79,21.87,2,12.61,21.57
5,11.55,33.30,1,11.74,32.97,3,11.20,33.12,4,11.36,33.23,2,11.52,33.09
5,11.46,44.77,2,11.17,44.14,1,10.84,43.96,4,11.37,44.60,3,11.47,44.57
5,10.09,54.86,2,10.23,54.38,1,10.27,54.23,4,9.99,54.59,3,9.97,54.54
5,9.99,1:04.86,2,10.12,1:04.50,1,10.17,1:04.40,4,10.08,1:04.68,3,10.10,1:04.64
2,9.00,1:13.86,3,9.63,1:14.13,1,9.28,1:13.68,5,9.81,1:14.49,4,9.80,1:14.45
1,9.08,1:22.95,3,9.04,1:23.18,2,9.40,1:23.09,4,8.88,1:23.38,5,8.97,1:23.42
2,9.51,1:32.46,3,9.45,1:32.63,1,9.30,1:32.40,5,9.61,1:32.99,4,9.29,1:32.72
1,9.27,1:41.74,3,9.23,1:41.86,2,9.43,1:41.84,4,9.09,1:42.09,5,9.43,1:42.15
2,9.28,1:51.02,3,9.31,1:51.18,1,9.17,1:51.01,4,9.19,1:51.28,5,9.17,1:51.32
2,9.29,2:00.31,3,9.26,2:00.44,1,9.14,2:00.16,4,9.39,2:00.68,5,9.49,2:00.82
2,9.29,2:09.60,5,18.61,2:19.05,3,9.45,2:09.61,1,8.73,2:09.41,4,10.07,2:10.89
1,9.72,2:19.316,5,37.03,2:56.074,3,9.91,2:19.518,2,9.95,2:19.354,4,11.07,2:21.956
