Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
2,12.88,12.88,3,13.02,13.02,4,13.15,13.15,1,12.71,12.71,5,13.31,13.31,6,13.48,13.48
1,9.77,22.65,3,9.79,22.81,4,9.78,22.93,2,9.97,22.68,5,9.74,23.05,6,9.69,23.17
1,9.62,32.27,3,9.61,32.42,4,9.56,32.49,2,9.66,32.34,5,9.53,32.58,6,9.51,32.68
3,10.00,42.27,6,10.08,42.50,4,9.81,42.30,1,9.83,42.17,2,9.64,42.22,5,9.70,42.38
6,9.80,52.07,4,9.54,52.04,3,9.59,51.89,1,9.54,51.71,2,9.57,51.79,4,9.66,52.04
6,9.70,1:01.77,5,9.62,1:01.66,3,9.55,1:01.44,1,9.55,1:01.26,2,9.53,1:01.32,4,9.50,1:01.54
6,9.53,1:11.30,5,9.51,1:11.17,2,9.53,1:10.97,2,9.71,1:10.97,1,9.50,1:10.82,4,9.52,1:11.06
6,9.56,1:20.86,5,9.59,1:20.76,1,9.25,1:20.22,4,9.76,1:20.73,2,9.57,1:20.39,3,9.45,1:20.51
4,9.45,1:30.31,3,9.39,1:30.15,1,9.42,1:29.64,5,9.95,1:30.686,6,23.63,1:44.022,2,9.45,1:29.96
