LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
2,12.79,12.79,3,12.88,12.88,4,13.00,13.00,1,12.73,12.73
1,10.01,22.80,4,10.24,23.12,3,10.01,23.01,2,10.17,22.90
1,10.00,32.80,4,9.87,32.99,2,9.81,32.82,3,10.00,32.90
2,9.57,42.37,4,9.58,42.57,1,9.47,42.29,3,9.57,42.47
2,9.53,51.90,4,9.57,52.14,1,9.52,51.81,3,9.59,52.06
2,9.28,1:01.18,4,9.31,1:01.45,1,9.30,1:01.11,3,9.28,1:01.34
1,9.08,1:10.26,4,9.09,1:10.54,2,9.17,1:10.28,3,9.09,1:10.43
1,9.32,1:19.58,4,9.23,1:19.77,3,9.42,1:19.70,2,9.26,1:19.69
1,9.62,1:29.193,3,9.66,1:29.426,4,9.83,1:29.527,2,9.64,1:29.321
