Tomonori IKE POSITION,Tomonori IKE LAP TIME,Tomonori IKE ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
1,7.152,7.152,4,7.848,7.848,3,7.750,7.750,2,7.541,7.541,5,8.039,8.039
1,11.031,18.182,2,10.368,18.216,4,10.595,18.344,3,10.756,18.296,5,10.656,18.695
1,10.792,28.973,2,10.885,29.101,4,11.002,29.346,3,10.888,29.184,5,10.855,29.549
1,11.170,40.142,2,11.156,40.256,4,11.157,40.503,3,11.086,40.270,5,11.202,40.751
3,11.251,51.393,2,10.990,51.245,4,10.914,51.416,1,10.933,51.202,5,10.739,51.489
5,10.242,1:01.635,1,9.944,1:01.189,4,10.182,1:01.598,3,10.160,1:01.362,2,9.844,1:01.332
5,9.746,1:11.381,2,9.837,1:11.026,4,9.774,1:11.372,1,9.627,1:10.989,3,9.916,1:11.248
4,9.781,1:21.162,2,9.895,1:20.921,5,9.822,1:21.193,1,9.883,1:20.872,3,9.891,1:21.139
3,9.797,1:30.958,1,9.771,1:30.691,4,9.803,1:30.996,2,9.836,1:30.707,5,9.883,1:31.021
3,9.432,1:40.389,1,9.419,1:40.109,2,9.285,1:40.280,4,9.772,1:40.478,5,9.666,1:40.687
3,9.205,1:49.593,2,9.265,1:49.374,1,9.080,1:49.360,4,9.801,1:50.278,5,9.861,1:50.547
3,9.554,1:59.147,1,9.037,1:58.410,2,9.105,1:58.465,4,9.990,2:00.268,5,9.798,2:00.345
3,10.184,2:09.331,1,9.144,2:07.553,2,9.380,2:07.844,5,10.251,2:10.518,4,10.142,2:10.486
3,10.25,2:19.573,1,9.66,2:17.209,2,10.49,2:18.327,5,10.74,2:21.251,4,10.51,2:20.993
